"wdpaid","wdpa_pid","name","iso3","country","year1","year2","area_km1","area_km2","area_change_km","area_change_perc","wdpa_yr"
1,"1","Diamond Reef and Salt Fish Tail Reef","ATG","Antigua and Barbuda",2014,2015,20,14.572487,-5.427513,-27.137565,2017
100014,"100014","Koryaksky","RUS","Russian Federation",2007,2008,3271.56,10032.18,6760.62,206.648204526281,2017
100014,"100014","Koryaksky","RUS","Russian Federation",2008,2010,10032.18,830,-9202.18,-91.7266237248534,2017
10028,"10028","Pulau Perhentian Besar","MYS","Malaysia",2005,2006,91.21,9.86,-81.35,-89.1897818221686,2017
10028,"10028","Pulau Perhentian Besar","MYS","Malaysia",2008,2010,9.86,0.5,-9.36,-94.9290060851927,2017
100660,"100660","Kejimkujik","CAN","Canada",2008,2012,17.72,2.7,-15.02,-84.7629796839729,2015
100672,"100672","Ivvavik","CAN","Canada",2008,2010,10170,5,-10165,-99.9508357915438,2015
100672,"100672","Ivvavik","CAN","Canada",2011,2012,5,78,73,1460,2015
100676,"100676","Aulavik","CAN","Canada",2008,2010,12033.68,150,-11883.68,-98.7534985141702,2015
100676,"100676","Aulavik","CAN","Canada",2011,2012,150,97,-53,-35.3333333333333,2015
10072,"10072","Sepilok (Mangrove)","MYS","Malaysia",2008,2010,12.46,1.85,-10.61,-85.1524879614767,2017
100837,"100837","Pageant Beach Replenishment Zone","CYM","Cayman Islands",2015,2016,0.36,0.48192810991,0.12192810991,33.8689194194445,2017
100839,"100839","Parco nazionale dell' Asinara","ITA","Italy",2008,2010,269.6,107.32,-162.28,-60.1928783382789,2017
100839,"100839","Parco nazionale dell' Asinara","ITA","Italy",2011,2012,107.32,51.7,-55.62,-51.8263138278047,2017
1010,"1010","Glacier Bay","USA","United States of America",2008,2010,13045.5,2456.84,-10588.66,-81.167145759074,2017
10111,"10111","Con Dao","VNM","Viet Nam",2005,2008,60,199.98,139.98,233.3,2017
10111,"10111","Con Dao","VNM","Viet Nam",2008,2010,199.98,427.25,227.27,113.646364636464,2017
10111,"10111","Con Dao","VNM","Viet Nam",2011,2012,427.25,42.725,-384.525,-90,2017
101396,"101396","Sagay","PHL","Philippines",2005,2006,283,323.26,40.26,14.226148409894,2017
101396,"101396","Sagay","PHL","Philippines",2008,2010,323.26,283,-40.26,-12.454371094475,2017
101396,"101396","Sagay","PHL","Philippines",2014,2015,283,320,37,13.0742049469965,2017
101399,"101399","Apo Island","PHL","Philippines",2005,2006,6.91,0.78,-6.13,-88.712011577424,2017
101409,"101409","Alto Golfo de California y Delta del R�o Colorado","MEX","Mexico",2008,2010,9364.06,5416.36,-3947.7,-42.1579955702975,2015
101410,"101410","Pulau Rempang","IDN","Indonesia",2008,2010,160,1.27,-158.73,-99.20625,2017
101421,"101421","San Juan River Estuary","CAN","Canada",2006,2012,0.79,0.02,-0.77,-97.4683544303797,2015
101430,"101430","Laguna de Términos","MEX","Mexico",2008,2010,7061.48,1579.82,-5481.66,-77.6276361329353,2017
101486,"101486","Pulau Anak Krakatau","IDN","Indonesia",2005,2006,250.35,137.35,-113,-45.1368084681446,2017
101486,"101486","Pulau Anak Krakatau","IDN","Indonesia",2008,2010,137.35,206.19,68.84,50.1201310520568,2017
101486,"101486","Pulau Anak Krakatau","IDN","Indonesia",2011,2012,206.19,137.35,-68.84,-33.386682186333,2017
101586,"101586","Wapusk National Park of Canada","CAN","Canada",2008,2010,11475,13.72,-11461.28,-99.8804357298475,2017
101586,"101586","Wapusk National Park of Canada","CAN","Canada",2011,2012,13.72,803.25,789.53,5754.59183673469,2017
101590,"101590","Tuktut Nogait National Park of Canada","CAN","Canada",2008,2010,16973.87,5.79,-16968.08,-99.9658887454658,2017
101597,"101597","Bligh Island Marine Park","CAN","Canada",2008,2010,47.736,30.311,-17.425,-36.502849002849,2015
101598,"101598","Brooks Peninsula Park (a.k.a. Muqqiwn Park)","CAN","Canada",2008,2010,453.986,63.221,-390.765,-86.0742401748071,2015
101598,"101598","Brooks Peninsula Park (a.k.a. Muqqiwn Park)","CAN","Canada",2013,2014,62.49,39.31,-23.18,-37.0939350296047,2015
101635,"101635","Catala Island Marine Park","CAN","Canada",2008,2010,8.507,5.96,-2.547,-29.9400493711061,2015
101635,"101635","Catala Island Marine Park","CAN","Canada",2011,2012,5.96,6.97,1.01,16.9463087248322,2015
101640,"101640","Epper Passage Park","CAN","Canada",2008,2010,3.063,2.51,-0.553,-18.0541952334313,2015
101645,"101645","God's Pocket Marine Park","CAN","Canada",2008,2010,20.253,15.263,-4.99,-24.6383251863921,2015
101646,"101646","Gowlland Tod Park","CAN","Canada",2008,2010,12.236,2.834,-9.402,-76.8388362209872,2015
101646,"101646","Gowlland Tod Park","CAN","Canada",2011,2012,2.834,3.26,0.426,15.0317572335921,2015
101651,"101651","Jedediah Island Marine Park","CAN","Canada",2006,2012,2.43,3.1,0.67,27.5720164609053,2015
101659,"101659","Marble River Park","CAN","Canada",2008,2010,15.121,4.39,-10.731,-70.9675286026056,2015
101659,"101659","Marble River Park","CAN","Canada",2011,2012,4.39,3.7,-0.69,-15.7175398633257,2015
101666,"101666","Quatsino Park","CAN","Canada",2008,2010,6.542,0.32,-6.222,-95.1085295016814,2015
101666,"101666","Quatsino Park","CAN","Canada",2011,2012,0.32,0.37,0.05,15.625,2015
101668,"101668","Scott Islands Park","CAN","Canada",2008,2010,3.36,74.23,70.87,2109.22619047619,2011
101669,"101669","Sulphur Passage Park","CAN","Canada",2008,2010,22.986,19.434,-3.552,-15.4528843643957,2015
101669,"101669","Sulphur Passage Park","CAN","Canada",2011,2012,19.434,9.86,-9.574,-49.2641761860657,2015
101669,"101669","Sulphur Passage Park","CAN","Canada",2013,2014,9.86,19.434,9.574,97.0993914807302,2015
101679,"101679","Juan De Fuca Park","CAN","Canada",2008,2010,17.945,1.799,-16.146,-89.9749233769852,2015
101679,"101679","Juan De Fuca Park","CAN","Canada",2011,2012,1.799,2.25,0.451,25.0694830461367,2015
101679,"101679","Juan De Fuca Park","CAN","Canada",2013,2014,2.25,1.47,-0.78,-34.6666666666667,2015
101683,"101683","Big Bunsby Marine Park","CAN","Canada",2008,2010,6.58,3.89,-2.69,-40.8814589665653,2015
101688,"101688","Dixie Cove Marine Park","CAN","Canada",2008,2010,1.56,0.7956,-0.7644,-49,2015
101688,"101688","Dixie Cove Marine Park","CAN","Canada",2011,2012,0.7956,0.52,-0.2756,-34.640522875817,2015
101705,"101705","Nuchatlitz Park","CAN","Canada",2008,2010,21.05,16.63,-4.42,-20.9976247030879,2015
101705,"101705","Nuchatlitz Park","CAN","Canada",2011,2012,16.63,9.36,-7.27,-43.7161755862898,2015
101705,"101705","Nuchatlitz Park","CAN","Canada",2013,2014,9.36,16.63,7.27,77.6709401709402,2015
101709,"101709","Santa Getrudis-Boca del Infierno Park","CAN","Canada",2008,2010,4.4,0.83,-3.57,-81.1363636363636,2015
101709,"101709","Santa Getrudis-Boca del Infierno Park","CAN","Canada",2011,2012,0.83,0.65,-0.18,-21.6867469879518,2015
101709,"101709","Santa Getrudis-Boca del Infierno Park","CAN","Canada",2013,2014,0.65,0.83,0.18,27.6923076923077,2015
101713,"101713","Surge Narrows Park","CAN","Canada",2008,2010,4.88,3.12,-1.76,-36.0655737704918,2015
